id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
23518156,Toronto Beaches - Spacious 3 Bedroom Home,175644558,Charles,,The Beaches,43.67168,-79.31005,Entire home/apt,395,14,2,2019-07-31,0.15,1,75
23520138,Peaceful place to spend quiet time/ Free Parking.,127525372,Meesaq,,L'Amoreaux,43.79605,-79.32911,Private room,38,2,4,2018-12-13,0.24,3,37
23520758,Modern bachelor condo on King Street West,42428958,Michelle,,Little Portugal,43.6412,-79.42494,Entire home/apt,69,150,1,2018-03-31,0.06,1,88
23521058,342 O,125241664,Isaac,,Trinity-Bellwoods,43.65226,-79.42112,Entire home/apt,150,1,99,2019-08-06,5.76,1,173
23521128,Large one bedroom apt overlooking golf course,2556324,Rita,,Kingsview Village-The Westway,43.70284,-79.54412,Entire home/apt,50,1,57,2019-08-02,3.45,1,149
23521486,A Sunny Room (RM 202) close to Eaton Center,175695432,Naidan,,Church-Yonge Corridor,43.6606,-79.37821,Private room,100,1,19,2019-02-25,1.21,4,219
23522408,Private room in the heart of High Park Village,139939052,Juan,,High Park North,43.65615,-79.4641,Private room,40,2,34,2019-03-01,2.01,1,66
23523026,A cozy room for single guest,130912946,Anita,,Don Valley Village,43.78856,-79.36248,Private room,31,2,8,2019-07-18,0.47,6,56
23523064,Peaceful & Cozy 2bd basement apt. In North York,175712444,Maryam,,Newtonbrook East,43.78867,-79.39774,Entire home/apt,78,2,30,2019-04-11,1.74,1,200
23524173,Large Master Bedroom with Ensuite,175723047,Mhay,,Junction Area,43.67099,-79.47436,Private room,34,7,7,2019-08-04,0.44,1,210
23524502,Serenity in the City,44789377,Cara,,Wychwood,43.67772,-79.43403,Private room,45,3,31,2019-07-05,1.78,2,11
23525159,House on the Hill,161773582,Michael,,High Park-Swansea,43.65327,-79.45712,Entire home/apt,125,2,47,2019-06-30,2.80,1,5
23526942,"Clean, bright, cozy OASIS  by the lake - private",175742735,Wendell And Jesse,,Mimico (includes Humber Bay Shores),43.60693,-79.49274,Entire home/apt,149,2,21,2019-07-01,1.48,1,51
23527081,"ENTIRE FAMILY HOUSE: 2 BR, 1.5 BATH, FREE PARKING",53573933,Kurt,,Dovercourt-Wallace Emerson-Junction,43.66331,-79.4542,Entire home/apt,229,2,1,2018-09-05,0.09,1,0
23527279,Great Apartment,69232945,Adrian,,Church-Yonge Corridor,43.65394,-79.3759,Entire home/apt,17,1,2,2018-03-14,0.12,1,0
23527837,Private Room in Downtown Toronto,134454799,Sjawal,,North St.James Town,43.66927,-79.37519,Private room,35,3,9,2019-01-31,0.54,1,0
